"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"06202","La Estrella","","Cardenal Caro","Lib. Gral. Bernardo O'Higgins","435,0","4.821","9,7","0,696"
"06203","Litueche","","Cardenal Caro","Lib. Gral. Bernardo O'Higgins","619,0","5.591","8,9","0,645"
"06204","Marchihue","","Cardenal Caro","Lib. Gral. Bernardo O'Higgins","660,0","7.557","10,4","0,670"
"06205","Navidad","","Cardenal Caro","Lib. Gral. Bernardo O'Higgins","300,0","5.650","18,0","0,651"
"06206","Paredones","","Cardenal Caro","Lib. Gral. Bernardo O'Higgins","562,0","6.802","11,9","0,628"
"06301","San Fernando","","Colchagua","Lib. Gral. Bernardo O'Higgins","2.441,0","75.221","30,8","0,725"
"06302","Chépica","","Colchagua","Lib. Gral. Bernardo O'Higgins","503,0","15.820","27,5","0,637"
"06303","Chimbarongo","","Colchagua","Lib. Gral. Bernardo O'Higgins","498,0","35.664","64,9","0,674"
"06304","Lolol","","Colchagua","Lib. Gral. Bernardo O'Higgins","597,0","6.630","10,4","0,628"
"06305","Nancagua","","Colchagua","Lib. Gral. Bernardo O'Higgins","111,0","18.921","140,9","0,665"
"06306","Palmilla","","Colchagua","Lib. Gral. Bernardo O'Higgins","237,0","12.373","47,3","0,676"
"06307","Peralillo","","Colchagua","Lib. Gral. Bernardo O'Higgins","282,6","10.933","38,6","0,653"
"06308","Placilla","","Colchagua","Lib. Gral. Bernardo O'Higgins","146,9","9.624","65,5","0,621"
"06309","Pumanque","","Colchagua","Lib. Gral. Bernardo O'Higgins","441,0","3.458","7,8","0,635"
"06310","Santa Cruz","","Colchagua","Lib. Gral. Bernardo O'Higgins","419,5","35.255","77,2","0,719"
"07101","Talca","","Talca","Maule","232,0","264.842","928,5","0,731"
"07102","Constitución","","Talca","Maule","1.344,0","41.416","34,3","0,715"
"07103","Curepto","","Talca","Maule","1.073,8","9.714","9,7","0,644"
"07104","Empedrado","","Talca","Maule","565,0","4.250","7,4","0,637"
"07105","Maule","","Talca","Maule","190,0","21.957","88,6","0,681"
"07106","Pelarco","","Talca","Maule","332,0","7.959","21,8","0,653"
"07107","Pencahue","","Talca","Maule","956,8","9.187","8,6","0,649"
"07108","Río Claro","","Talca","Maule","431,0","13.020","30,2","0,671"
"07109","San Clemente","","Talca","Maule","4.504,0","39.554","9,5","0,659"
"07110","San Rafael","","Talca","Maule","263,5","8.512","29,1","0,629"
"07201","Cauquenes","","Cauquenes","Maule","2.216,0","40.245","19,4","0,656"
"07202","Chanco","","Cauquenes","Maule","530,0","9.571","17,8","0,612"
"07203","Pelluhue","","Cauquenes","Maule","371,0","6.636","17,2","0,694"
"07301","Curicó","","Curicó","Maule","1.328,0","177.766","133,8","0,710"
"07302","Hualañé","","Curicó","Maule","629,0","9.977","15,4","0,631"
"07303","Licantén","","Curicó","Maule","273,0","6.689","25,2","0,705"
"07304","Molina","","Curicó","Maule","1.552,0","40.329","25,8","0,663"
"07305","Rauco","","Curicó","Maule","309,0","9.878","27,7","0,659"
"07306","Romeral","","Curicó","Maule","1.597,0","14.460","7,9","0,668"
"07307","Sagrada Familia","","Curicó","Maule","548,8","17.839","31,9","0,672"
"07308","Teno","","Curicó","Maule","618,4","28.228","45,6","0,648"
"07309","Vichuquén","","Curicó","Maule","426,0","4.335","11,5","0,678"
"07401","Linares","","Linares","Maule","1.466,0","107.311","73,1","0,710"
"07402","Colbún","","Linares","Maule","2.900,0","19.361","6,0","0,638"
"07403","Longaví","","Linares","Maule","1.454,0","28.968","19,3","0,626"
"07404","Parral","","Linares","Maule","1.638,0","39.404","23,2","0,656"
"07405","Retiro","","Linares","Maule","827,0","18.760","22,0","0,649"
"07406","San Javier","","Linares","Maule","1.313,0","40.881","31,0","0,654"
"07407","Villa Alegre","","Linares","Maule","190,0","15.428","77,5","0,648"
"07408","Yerbas Buenas","","Linares","Maule","262,0","17.158","61,5","0,640"
"08101","Concepción","","Concepción","Biobío","221,6","227.768","1.027,8","0,757"
"08102","Coronel","","Concepción","Biobío","279,4","107.508","384,8","0,682"
"08103","Chiguayante","","Concepción","Biobío","71,5","115.366","1.613,5","0,764"
"08104","Florida","","Concepción","Biobío","608,6","9.867","16,2","0,604"
"08105","Hualqui","","Concepción","Biobío","530,5","21.934","41,3","0,666"
"08106","Lota","","Concepción","Biobío","135,8","48.045","353,8","0,643"
"08107","Penco","","Concepción","Biobío","107,6","52.389","486,9","0,689"
"08108","San Pedro de La Paz","","Concepción","Biobío","112,5","94.827","842,9","0,787"
"08109","Santa Juana","","Concepción","Biobío","731,2","13.331","18,2","0,626"
"08110","Talcahuano","","Concepción","Biobío","92,3","171.673","1.859,9","0,731"
"08111","Tomé","","Concepción","Biobío","494,5","55.764","112,8","0,668"
"08112","Hualpén","","Concepción","Biobío","53,5","86.176","1.610,8",""
"08201","Lebu","","Arauco","Biobío","561,4","25.790","45,9","0,633"
"08202","Arauco","","Arauco","Biobío","956,1","41.153","43,0","0,704"
"08203","Cañete","","Arauco","Biobío","1.089,2","33.535","30,8","0,641"
"08204","Contulmo","","Arauco","Biobío","638,8","5.188","8,1","0,603"
"08205","Curanilahue","","Arauco","Biobío","994,3","33.855","31,0","0,643"
"08206","Los Álamos","","Arauco","Biobío","599,1","20.723","34,6","0,645"
"08207","Tirúa","","Arauco","Biobío","624,4","10.859","17,4","0,584"
"08301","Los Ángeles","","Biobío","Biobío","1.748,2","195.813","112,0","0,696"
"08302","Antuco","","Biobío","Biobío","1.884,1","3.774","2,0","0,662"
"08303","Cabrero","","Biobío","Biobío","639,8","29.532","46,2","0,635"
"08304","Laja","","Biobío","Biobío","339,8","20.964","61,7","0,665"
"08305","Mulchén","","Biobío","Biobío","1.925,3","28.517","14,8","0,639"
"08306","Nacimiento","","Biobío","Biobío","934,9","26.145","28,0","0,656"
"08307","Negrete","","Biobío","Biobío","156,5","8.933","57,1","0,629"
"08308","Quilaco","","Biobío","Biobío","1.123,7","3.722","3,3","0,635"
"08309","Quilleco","","Biobío","Biobío","1.121,8","10.396","9,3","0,641"
"08310","San Rosendo","","Biobío","Biobío","92,4","3.627","39,3","0,647"
"08311","Santa Bárbara","","Biobío","Biobío","1.254,9","14.612","11,6","0,637"
"08312","Tucapel","","Biobío","Biobío","914,9","13.442","14,7","0,655"
"08313","Yumbel","","Biobío","Biobío","727,0","20.572","28,3","0,597"
"08314","Alto Biobío","","Biobío","Biobío","2.124,6","10.039","4,7",""
"08401","Chillán","","Ñuble","Biobío","511,2","175.585","343,5","0,714"
"08402","Bulnes","","Ñuble","Biobío","425,4","21.542","50,6","0,626"
"08403","Cobquecura","","Ñuble","Biobío","570,3","5.173","9,1","0,633"
"08404","Coelemu","","Ñuble","Biobío","342,3","15.461","45,2","0,611"
"08405","Coihueco","","Ñuble","Biobío","1.776,6","24.714","13,9","0,639"
"08406","Chillán Viejo","","Ñuble","Biobío","291,8","29.199","100,1","0,732"
"08407","El Carmen","","Ñuble","Biobío","664,3","11.830","17,8","0,611"
"08408","Ninhue","","Ñuble","Biobío","401,2","5.278","13,2","0,569"
"08409","Ñiquén","","Ñuble","Biobío","493,1","10.063","20,4","0,629"
"08410","Pemuco","","Ñuble","Biobío","562,7","9.120","16,2","0,631"
"08411","Pinto","","Ñuble","Biobío","1.164,0","10.883","9,3","0,618"
"08412","Portezuelo","","Ñuble","Biobío","282,3","5.061","17,9","0,599"
"08413","Quillón","","Ñuble","Biobío","423,0","15.525","36,7","0,590"
"08414","Quirihue","","Ñuble","Biobío","589,0","11.851","20,1","0,594"
"08415","Ránquil","","Ñuble","Biobío","248,3","4.983","20,1","0,586"
"08416","San Carlos","","Ñuble","Biobío","874,0","51.335","58,7","0,653"
"08417","San Fabián","","Ñuble","Biobío","1.568,3","3.503","2,2","0,618"
"08418","San Ignacio","","Ñuble","Biobío","363,6","15.770","43,4","0,618"
"08419","San Nicolás","","Ñuble","Biobío","490,5","10.051","20,5","0,625"
"08420","Treguaco","","Ñuble","Biobío","313,1","4.995","16,0","0,562"
"08421","Yungay","","Ñuble","Biobío","823,5","18.234","22,1","0,669"
"09101","Temuco","","Cautín","La Araucanía","464,0","269.992","8039,0","0,763"
"09102","Carahue","","Cautín","La Araucanía","1.340,6","25.718","19,2","0,604"
"09103","Cunco","","Cautín","La Araucanía","1.906,5","19.024","10,0","0,659"
"09104","Curarrehue","","Cautín","La Araucanía","1.170,7","7.540","6,4","0,603"
